Date,Close,High,Low,Open,Volume
2020-08-10,113.34545135498047,113.40621019546745,112.81592090672501,112.85063835187792,174000
2020-08-11,116.10594177246094,117.33861634981096,115.94100410966811,117.19104403201665,287700
2020-08-12,118.44108581542969,118.84908533110371,118.19802396514015,118.81435464056096,251600
2020-08-13,117.7466049194336,118.35425947915319,117.43409496788124,118.27613530273408,158100
2020-08-14,116.513916015625,116.74830176170798,115.97570965027637,116.03646847577977,110700
2020-08-17,117.65111541748047,117.67715680962411,116.81776437713171,117.14762642624328,158800
2020-08-18,118.1285629272461,118.56260379048,117.94625993650243,118.25009383911654,121200
2020-08-19,117.37332916259766,118.49314869571273,117.31255708729772,118.25876293450253,111900
2020-08-20,116.40106964111328,116.5399658893397,115.97571809399841,116.0885597055415,118000
2020-08-21,116.17537689208984,116.24482501842678,115.5503570009331,115.64584651891194,122600
2020-08-24,116.98271179199219,117.58169042088122,116.64416038164775,116.88722225338844,154300
2020-08-25,117.00872039794922,117.3646370553531,116.44447262079663,117.19102337360421,126800
2020-08-26,117.09554290771484,117.25180450547288,116.31427465655229,116.67017809557584,138300
2020-08-27,115.94100189208984,116.52261510258205,115.60245052341895,116.4705323144599,165000
2020-08-28,116.25350952148438,116.57469553900954,115.94968884827527,116.34899904640763,100300
2020-08-31,114.96005249023438,115.55903097901714,114.39580468693565,115.55903097901714,183300
2020-09-01,114.84722900390625,114.98612527601405,113.7968441591727,114.41318808797756,143900
2020-09-02,115.03819274902344,115.12499297312502,114.21351776774154,114.31768333501375,123000
2020-09-03,112.80722045898438,114.54338395430041,112.49471049999244,114.25691538806812,173300
2020-09-04,115.60244750976562,116.1059365249491,113.65793958000978,115.45487519864098,203000
2020-09-08,113.9183578491211,114.67359793576043,113.37147538499498,113.71870276684888,227300
2020-09-09,113.83157348632812,114.1267181266129,113.12842933028838,113.12842933028838,179900
2020-09-10,113.00688171386719,114.02254907037805,112.89404008771476,113.24995680267142,133700
2020-09-11,114.01387023925781,114.2395800040323,113.31940209035157,113.83158046327033,155800
2020-09-14,116.12329864501953,116.62678764622372,115.82814078508865,116.23614026458382,193000
2020-09-15,116.34899139404297,117.00005268136883,116.2448258267511,116.73962551726332,100900
2020-09-16,116.34899139404297,116.98268733819492,116.33162605086906,116.80039759543412,125800
2020-09-17,117.1910171508789,117.55560983695452,115.940977515263,116.1493218698237,132400
2020-09-18,116.53997039794922,117.46013489776608,116.53997039794922,116.73962548382674,128000
2020-09-21,113.9096908569336,114.84722075752737,113.03293303822744,114.84722075752737,306300
2020-09-22,114.8038101196289,114.84721685580588,113.86628025088596,114.07462463700978,144600
2020-09-23,115.70662689208984,117.32994899994658,115.6198266524157,116.774377131695,199100
2020-09-24,114.45657348632812,115.1857589101084,113.64057459719896,114.04857404176354,199500
2020-09-25,115.4288330078125,115.55903997382394,114.58679263860114,115.10764699439993,189300
2020-09-28,118.06780242919922,118.32822962185908,117.22576201226278,117.22576201226278,219000
2020-09-29,118.29248046875,119.61418416113827,118.2396144722649,119.01501827422022,136500
2020-09-30,116.69763946533203,117.42016390396063,116.41566952679729,116.8826704730621,155900
2020-10-01,116.68881225585938,117.04127465714186,116.32755678151038,116.86505017903355,130800
2020-10-02,116.07202911376953,116.42449154315202,115.32307166083223,115.41117718437766,98800
2020-10-05,116.39805603027344,116.46853506956242,115.6490851484284,115.85174263778413,236200
2020-10-06,115.65788269042969,116.86504790436024,115.56977717562334,116.24824207538794,256600
2020-10-07,116.68881225585938,116.90909621476123,116.31873681831216,116.90909621476123,115900
2020-10-08,117.14700317382812,117.31442112882905,116.72406174992322,117.12937669302133,99300
2020-10-09,116.38040924072266,116.62712617038439,116.28348377227954,116.50376770555353,107800
2020-10-12,116.13370513916016,116.50378057453118,115.97509369824927,116.3099296162322,144400
2020-10-13,116.88265991210938,117.30561478169534,116.68000244026535,117.05007786735398,104600
2020-10-14,115.89579010009766,116.28349200130666,115.70193914949317,115.99271557539991,105100
2020-10-15,115.5785903930664,115.62264987555626,114.88249897196556,115.1115894578199,123000
2020-10-16,115.11158752441406,116.05440934260929,115.06752804266422,115.12039404273757,144400
2020-10-19,115.32307434082031,116.1248978155318,115.09397039513082,116.1248978155318,106800
