Date,Close,High,Low,Open,Volume,feature_sum,feature_mean
2020-08-10,91.32909393310548,91.49903566961498,90.8103294497724,91.0339341246015,805500,805864.672393177,268621.55746439233
2020-08-11,90.7834930419922,92.51866740791192,90.6135513147275,91.64213412776108,871000,871365.5578458924,290455.1859486308
2020-08-12,92.37557220458984,92.61706910099824,90.72089879594908,91.06972158065108,619900,620266.7832616821,206755.59442056072
2020-08-13,93.57408905029295,93.8334712982552,91.91046968327548,92.33978684799872,987200,987571.6578168798,329190.5526056266
2020-08-14,93.2699737548828,93.62774257208044,92.7243778440278,93.404137914316,607900,608273.0262320853,202757.6754106951
2020-08-17,93.44886016845705,93.88712338039252,93.0642598899378,93.59196359885794,558300,558673.9922070376,186224.66406901254
2020-08-18,93.21631622314452,93.66352556459208,92.67966637818208,93.66352556459208,669800,670173.2230337305,223391.07434457683
2020-08-19,93.01058959960938,94.36116361511668,92.93009519994624,93.55618549912316,790600,790973.8580339138,263657.9526779713
2020-08-20,92.07145690917967,92.57232916352666,91.49902952596238,92.54549769616844,607900,608268.6883132948,202756.22943776494
2020-08-21,91.61531066894533,92.24140104959018,91.4811464948433,92.1161829734612,768500,768867.4540411868,256289.1513470623
2020-08-24,92.6975555419922,92.930106319744,91.99991003261002,91.99991003261002,688800,689169.6274819269,229723.20916064232
2020-08-25,92.6975555419922,93.43992471689812,92.2592922801268,93.43992471689812,510900,511271.8366972559,170423.94556575196
2020-08-26,93.61878967285156,93.6992908922114,92.49182719279088,92.8585352564662,724400,724772.6684430143,241590.88948100476
2020-08-27,91.7405242919922,94.209121774474,91.6153062219413,94.14651273944854,845800,846171.7114650279,282057.2371550093
2020-08-28,92.8048858642578,92.90327246678768,91.82102666283224,92.59022046389822,545400,545770.1194054577,181923.3731351526
2020-08-31,92.67071533203124,93.52935640289412,92.23245211150046,92.67966142906693,770100,770471.1121852755,256823.7040617585
2020-09-01,93.01954650878906,93.05532407631108,91.90152311325072,92.5007820155297,695700,696070.4771757139,232023.4923919046
2020-09-02,94.63843536376952,94.80837709125164,92.66177096214685,93.44886374301316,772700,773075.5574471601,257691.85248238672
2020-09-03,90.61355590820312,94.79943567844184,90.22895559596785,94.77260420938153,858400,858770.414551392,286256.804850464
2020-09-04,90.9892120361328,92.04462631340976,89.7370245645355,91.50796966567324,906300,906664.2788325797,302221.4262775266
2020-09-08,88.86943817138672,90.43467081877586,88.69055716980566,90.27367518780378,883200,883558.2683413478,294519.42278044927
2020-09-09,90.46150207519533,91.27542632539428,89.82646565003212,89.9964073778479,681400,681761.5598014285,227253.8532671428
2020-09-10,88.90519714355469,91.54372889637438,88.47587327612358,91.32012427922452,815500,815860.2449235952,271953.41497453174
2020-09-11,89.48658752441406,90.29155884008232,89.06620967243865,89.79068658608915,657700,658058.635042623,219352.878347541
2020-09-14,89.72057342529297,90.12553500990096,89.19863346592358,89.99954879221865,642700,643059.0442906934,214353.01476356445
2020-09-15,89.9725570678711,91.16043208171912,89.83756986648817,90.2695206720324,600300,600661.2400796881,200220.41335989605
2020-09-16,88.54169464111328,90.44949662292666,88.37971138920712,90.17952224783852,773900,774257.5504249011,258085.85014163368
2020-09-17,88.37068176269531,88.95562147525952,87.2638022882986,88.11870942269383,742000,742352.7088149489,247450.9029383163
2020-09-18,86.68787384033203,89.30659453134034,86.49889456289696,88.56867250556584,1403100,1403451.0620354402,467817.0206784801
2020-09-21,84.82508850097656,85.88697719235441,83.8981869984338,85.88697719235441,879000,879340.4972298841,293113.49907662807
2020-09-22,85.61700439453125,85.84198075816323,84.25814523578858,84.61810879074652,960000,960340.3352391792,320113.4450797264
2020-09-23,84.10516357421875,86.66989276531984,83.88018720893385,86.49891539640231,826500,826841.1541589448,275613.7180529816
2020-09-24,83.40322875976562,85.85997340525033,82.96227705724945,83.85318143825687,640400,640736.0786606605,213578.69288688686
2020-09-25,84.18614196777344,84.4741113836933,82.64729789205683,83.16924460395296,536100,536434.4767958475,178811.49226528252
2020-09-28,85.83296966552734,86.21992923999932,84.55510571847402,85.41001991896151,550600,550942.018024543,183647.3393415143
2020-09-29,85.50000762939453,86.19293171503331,85.36502045626851,86.01295339468716,487600,487943.0709131954,162647.69030439845
2020-09-30,85.36503601074219,86.24693955315706,84.92408423953475,85.79698680457238,750800,751142.333046608,250380.77768220266
2020-10-01,85.20304107666016,86.32792279405072,84.9060706554931,86.19293561481723,627800,628142.629970141,209380.87665671366
2020-10-02,85.42801666259766,86.16593878803295,84.35712708010344,84.36612805616802,501700,502040.3172105869,167346.77240352897
2020-10-05,86.87686157226562,86.98485268376584,85.97695624029569,86.15693456039655,562900,563245.9956050568,187748.6652016856
2020-10-06,85.62600708007812,87.4528140907049,85.41902580048371,86.87687513757334,581400,581745.3747221088,193915.1249073696
2020-10-07,87.21883392333984,87.47080634896518,86.21094422083851,86.27393732724485,586900,587247.1745218204,195749.05817394014
2020-10-08,88.30770111083984,88.37969517975695,87.21881656496487,87.74976424106309,491900,492251.65597709664,164083.88532569888
2020-10-09,88.92865753173828,89.49559550146262,88.47870480047757,88.61369199300255,539100,539455.5166498267,179818.50554994223
2020-10-12,89.15362548828125,89.53158409911458,88.8566550658837,89.33360381751622,412300,412656.8754684708,137552.2918228236
2020-10-13,88.91964721679688,89.38760185297663,88.2087211521749,88.85665411566495,395300,395655.3726243376,131885.12420811254
2020-10-14,88.63168334960938,89.39660158739994,87.88476706512222,89.09963801522883,440400,440755.01269001735,146918.33756333913
2020-10-15,89.11763763427734,89.34261400187502,87.60579616939155,87.92076171088154,369400,369753.98680951644,123251.32893650548
2020-10-16,89.19862365722656,89.88254680208499,88.77566703048876,89.0816315638623,808000,808356.9384690537,269452.3128230179
2020-10-19,87.93875122070312,90.29649882540735,87.69577293327102,89.61257570802219,468400,468755.5435986874,156251.84786622913
2020-10-20,88.90166473388672,90.1435318461459,88.0557513709909,88.48770902980031,500100,500455.58865698084,166818.52955232695
2020-10-21,88.54169464111328,89.65757545105936,87.8217675513673,89.10863258991809,428500,428855.12967023347,142951.70989007782
2020-10-22,89.12661743164062,89.61256709406027,88.4516884892354,88.4516884892354,485700,486055.64256150415,162018.5475205014
2020-10-23,90.74644470214844,90.8274397471388,89.09962326564461,89.67556209280934,701000,701360.3490698078,233786.78302326926
2020-10-26,89.46857452392578,90.20649652309248,88.7126574414422,90.01751725247158,730100,730458.4052457409,243486.13508191364
2020-10-27,88.73966217041016,90.13451813151694,88.66766809864396,89.27060300178763,575700,576056.8124514023,192018.93748380078
2020-10-28,87.80377960205078,91.49339078905965,87.7137904249499,90.09854137966076,1444800,1445157.1095021956,481719.0365007319
2020-10-29,90.64744567871094,92.08729249629698,87.75874420421086,87.75874420421086,1103600,1103958.2522265834,367986.0840755278
2020-10-30,93.60816955566406,94.70605539311096,91.097439186352,91.23241952232148,1946600,1946970.6440836575,648990.2146945525
2020-11-02,98.8906021118164,98.89960308806292,94.50806041948236,94.57105352174152,2065600,2065986.8693191411,688662.2897730471
2020-11-03,99.54753112792967,100.59141775157671,98.45864649101416,100.15946703342377,1914900,1915298.757062404,638432.9190208013
2020-11-04,100.12347412109376,101.7523006556754,99.1425736904364,99.99748791763068,1159300,1159701.0158363848,386567.00527879497
2020-11-05,101.93228149414062,102.9761750522288,100.33945195929688,100.78940465866592,1725600,1726006.0373131644,575335.3457710549
2020-11-06,103.6601104736328,104.65000509062637,101.8782946704575,102.2292572449758,1009700,1010112.4176674797,336704.1392224932
2020-11-09,103.73210144042967,108.36661602582568,103.65111324295238,108.24963078533604,1666300,1666723.9994614946,555574.6664871649
2020-11-10,102.75119018554688,103.43512015430252,102.013268094377,102.53521483015716,1200000,1200410.7347932644,400136.9115977548
2020-11-11,103.32714080810548,104.28103836327156,102.75120188433723,103.39013391333845,713900,714313.7495149691,238104.58317165636
2020-11-12,102.3642349243164,104.06505550918486,101.9142822433304,103.8580811207418,634800,635212.2016537975,211737.40055126583
2020-11-13,104.05606842041016,104.10106644080736,102.40024562894855,102.634222976693,595600,596013.1916034669,198671.0638678223
2020-11-16,105.74787902832033,105.9278573510526,104.52400720968848,105.3069204658802,862000,862421.5066640549,287473.835554685
2020-11-17,105.58589935302734,105.79287374457752,104.90196934525608,105.44191119739838,606700,607121.7226536402,202373.9075512134
2020-11-18,102.85916900634766,105.5948748230387,102.82317197379489,105.5948748230387,818500,818916.8720906263,272972.2906968754
2020-11-19,102.85018920898438,103.84908475437094,101.52732716964904,103.21015274289786,571200,571611.4367538759,190537.1455846253
2020-11-20,103.03016662597656,103.67809960810672,102.13926220841422,103.03016662597656,653000,653411.8776950685,217803.95923168949
2020-11-23,103.1831512451172,103.83107733315778,102.65220351576768,103.39012563184691,578100,578513.0565577259,192837.68551924196
2020-11-24,104.80297088623048,105.5318919854797,103.1291464714316,104.13704288363571,676400,676817.6010522267,225605.86701740892
2020-11-25,104.72198486328124,105.02794937741544,103.55210519760084,104.64999078969694,678500,678917.952030228,226305.984010076
2020-11-27,105.33393096923828,106.19783933880628,104.73098912668138,105.11794872754622,399400,399821.38070816227,133273.79356938743
2020-11-30,105.0729522705078,105.35192073643924,102.86818000827206,104.50600749686257,1162400,1162817.799060512,387605.9330201707
2020-12-01,107.80866241455078,107.97963976035132,105.5139010526144,105.87386456154816,1008800,1009227.1760677891,336409.058689263
2020-12-02,106.6208038330078,107.98865713580508,105.99986685744209,107.98865713580508,639300,639728.597984962,213242.86599498734
2020-12-03,107.3047103881836,107.62867685854094,106.40480505179823,106.40480505179823,559700,560127.7429973503,186709.24766578342
2020-12-04,109.19450378417967,109.55446727065971,106.86375239589654,107.08872871673002,803700,804132.7014521675,268044.2338173892
2020-12-07,109.15852355957033,110.10342007371612,108.23161526607524,108.61857484779205,769500,769936.1121337472,256645.37071124907
2020-12-08,110.5533676147461,110.6793538107728,108.2406112080658,109.1135204703458,715600,716038.586853104,238679.52895103465
2020-12-09,107.49370574951172,111.183323672679,106.11685147759312,111.183323672679,1245200,1245635.9772045724,415211.99240152416
2020-12-10,106.72877502441406,107.94364589525316,106.19783415407588,107.03474641900648,623900,624327.9050014927,208109.30166716423
2020-12-11,107.03474426269533,107.2957176374412,106.22482807654136,106.59378569895247,559600,560027.1490756756,186675.71635855854
2020-12-14,106.02164459228516,108.0749641731886,106.02164459228516,107.83073332908953,723700,724127.9489866869,241375.98299556228
2020-12-15,107.81266021728516,107.8850185317938,106.36538350908378,106.88098049464112,561600,562028.9440427528,187342.98134758428
2020-12-16,107.03472900390624,108.10209155722846,106.48295642712208,107.5412716051014,686600,687029.1610485933,229009.72034953113
2020-12-17,107.30609130859376,108.22873038918004,106.39250650474185,107.14327305326238,822600,823029.0706012557,274343.0235337519
