Date,Close,High,Low,Open,Volume,feature_sum,feature_mean
2020-11-18,17804.005859375,18393.94921875,17352.90625,17645.19140625,49064800278,49064871474.052734,16354957158.017578
2020-11-19,17817.08984375,18119.546875,17382.5546875,17803.861328125,36985055355,36985126478.052734,12328375492.684244
2020-11-20,18621.314453125,18773.2265625,17765.794921875,17817.083984375,36992873940,36992946917.41992,12330982305.80664
2020-11-21,18642.232421875,18936.62109375,18444.359375,18621.31640625,39650210707,39650285351.5293,13216761783.8431
2020-11-22,18370.001953125,18688.96875,17671.384765625,18642.232421875,41280434226,41280507598.58789,13760169199.529297
2020-11-23,18364.12109375,18711.42578125,18000.796875,18370.017578125,42741112308,42741185754.36133,14247061918.120443
2020-11-24,19107.46484375,19348.271484375,18128.65625,18365.015625,51469565009,51469639958.4082,17156546652.802734
2020-11-25,18732.12109375,19390.96484375,18581.146484375,19104.41015625,43710357371,43710433179.64258,14570144393.214193
2020-11-26,17150.623046875,18866.28515625,16351.03515625,18729.83984375,61396835737,61396906834.7832,20465635611.594402
2020-11-27,17108.40234375,17445.0234375,16526.423828125,17153.9140625,38886494645,38886562878.76367,12962187626.254557
2020-11-28,17717.4140625,17853.939453125,16910.65234375,17112.93359375,32601040734,32601110328.939453,10867036776.31315
2020-11-29,18177.484375,18283.62890625,17559.1171875,17719.634765625,31133957704,31134029443.865234,10378009814.621744
2020-11-30,19625.8359375,19749.263671875,18178.322265625,18178.322265625,47728480399,47728556130.74414,15909518710.248047
2020-12-01,18802.998046875,19845.974609375,18321.921875,19633.76953125,49633658712,49633735316.66406,16544578438.888021
2020-12-02,19201.091796875,19308.330078125,18347.71875,18801.744140625,37387697139,37387772797.884766,12462590932.628256
2020-12-03,19445.3984375,19566.19140625,18925.78515625,19205.92578125,31930317405,31930394548.30078,10643464849.433594
2020-12-04,18699.765625,19511.404296875,18697.193359375,19446.966796875,33872388058,33872464413.33008,11290821471.110025
2020-12-05,19154.23046875,19160.44921875,18590.193359375,18698.384765625,27242455064,27242530667.257812,9080843555.752604
2020-12-06,19345.12109375,19390.5,18897.89453125,19154.1796875,25293775714,25293852501.695312,8431284167.2317705
2020-12-07,19191.630859375,19411.828125,18931.142578125,19343.12890625,26896357742,26896434619.73047,8965478206.576822
2020-12-08,18321.14453125,19283.478515625,18269.9453125,19191.529296875,31692288756,31692363822.097656,10564121274.032553
2020-12-09,18553.916015625,18626.29296875,17935.546875,18320.884765625,34420373071,34420446507.640625,11473482169.213541
2020-12-10,18264.9921875,18553.298828125,17957.064453125,18553.298828125,25547132265,25547205593.654297,8515735197.884766
2020-12-11,18058.904296875,18268.453125,17619.533203125,18263.9296875,27919640985,27919713195.820312,9306571065.273438
2020-12-12,18803.65625,18919.55078125,18046.041015625,18051.3203125,21752580802,21752654622.56836,7250884874.189453
2020-12-13,19142.3828125,19381.53515625,18734.33203125,18806.765625,25450468637,25450544702.015625,8483514900.671875
2020-12-14,19246.64453125,19305.099609375,19012.708984375,19144.4921875,22473997681,22474074389.945312,7491358129.9817705
2020-12-15,19417.076171875,19525.0078125,19079.841796875,19246.919921875,26741982541,26742059809.845703,8914019936.615234
2020-12-16,21310.59765625,21458.908203125,19298.31640625,19418.818359375,44409011479,44409092965.640625,14803030988.546875
2020-12-17,22805.162109375,23642.66015625,21234.67578125,21308.3515625,71378606374,71378695364.84961,23792898454.94987
2020-12-18,23137.9609375,23238.6015625,22399.8125,22806.796875,40387896275,40387987858.171875,13462662619.390625
2020-12-19,23869.83203125,24085.85546875,22826.47265625,23132.865234375,38487546580,38487640495.02539,12829213498.341797
2020-12-20,23477.294921875,24209.66015625,23147.7109375,23861.765625,37844228422,37844323118.43164,12614774372.810547
2020-12-21,22803.08203125,24059.982421875,22159.3671875,23474.455078125,45852713981,45852806477.88672,15284268825.96224
2020-12-22,23783.029296875,23789.90234375,22430.60546875,22794.0390625,44171632681,44171725478.57617,14723908492.858725
2020-12-23,23241.345703125,24024.490234375,22802.646484375,23781.974609375,51146161904,51146255754.45703,17048751918.152344
2020-12-24,23735.94921875,23768.337890625,22777.59765625,23240.203125,41080759713,41080853235.08789,13693617745.029297
2020-12-25,24664.791015625,24710.1015625,23463.673828125,23733.5703125,42068395846,42068492418.13672,14022830806.045572
2020-12-26,26437.037109375,26718.0703125,24522.689453125,24677.015625,48332647295,48332749649.8125,16110916549.9375
2020-12-27,26272.294921875,28288.83984375,25922.76953125,26439.373046875,66479895605,66480002528.27734,22160000842.759113
2020-12-28,27084.80859375,27389.111328125,26207.640625,26280.822265625,49056742893,49056849855.38281,16352283285.127604
2020-12-29,27362.4375,27370.720703125,25987.298828125,27081.810546875,45265946774,45266054576.26758,15088684858.75586
2020-12-30,28840.953125,28937.740234375,27360.08984375,27360.08984375,51287442704,51287555202.87305,17095851734.291016
2020-12-31,29001.720703125,29244.876953125,28201.9921875,28841.57421875,46754964848,46755080138.16406,15585026712.721354
2021-01-01,29374.15234375,29600.626953125,28803.5859375,28994.009765625,40730301359,40730418131.375,13576806043.791666
2021-01-02,32127.267578125,33155.1171875,29091.181640625,29376.455078125,67865420765,67865544515.021484,22621848171.67383
2021-01-03,32782.0234375,34608.55859375,32052.31640625,32129.408203125,78665235202,78665366774.30664,26221788924.76888
2021-01-04,31971.9140625,33440.21875,28722.755859375,32810.94921875,81163475344,81163602289.83789,27054534096.61263
2021-01-05,33992.4296875,34437.58984375,30221.1875,31977.041015625,67547324782,67547455410.24805,22515818470.082684
2021-01-06,36824.36328125,36879.69921875,33514.03515625,34013.61328125,75289433811,75289575042.71094,25096525014.23698
2021-01-07,39371.04296875,40180.3671875,36491.19140625,36833.875,84762141031,84762293907.47656,28254097969.158855
