Date,Close,High,Low,Open,Volume,feature_sum,feature_mean
2020-08-10,5.514838695526123,5.545952000561261,5.374828451968148,5.374828451968148,57229000,57229021.8104476,19076340.603482533
2020-08-11,5.623735427856445,5.740410510605307,5.592622121910064,5.608178774883255,74016400,74016422.56494683,24672140.854982276
2020-08-12,5.5303955078125,5.732631996383353,5.491503689945096,5.701518690449376,59161400,59161422.45604988,19720474.15201663
2020-08-13,5.46816873550415,5.584843443883306,5.444833571288408,5.46816873550415,50066800,50066821.96601449,16688940.655338163
2020-08-14,5.475948333740234,5.5303968174686,5.390386536709932,5.42149985001187,43517700,43517721.81823154,14505907.272743845
2020-08-17,5.429277896881104,5.491504518133622,5.343716107208931,5.483726375927017,64555200,64555221.7482249,21518407.2494083
2020-08-18,5.359272480010986,5.452612777869302,5.359272480010986,5.429277610679748,40444200,40444221.60043535,13481407.200145116
2020-08-19,5.343715190887451,5.46039027117885,5.335937050014614,5.359271843532981,44158100,44158121.49931435,14719373.833104784
2020-08-20,5.320379734039307,5.359271175354329,5.234817969706564,5.265931271118505,41824500,41824521.18040015,13941507.060133383
2020-08-21,5.180370807647705,5.328159211916021,5.172592665791427,5.273711106222364,39158900,39158920.95483379,13052973.651611263
2020-08-24,5.429277896881104,5.444834552194234,5.203706209390765,5.234819520017024,64974700,64974721.31263818,21658240.43754606
2020-08-25,5.398164749145508,5.522617995405946,5.335938126015289,5.452613229834414,49550000,49550021.7093341,16516673.903111367
2020-08-26,5.304823875427246,5.421498587693497,5.265932057405253,5.398163793600193,48600100,48600121.39041831,16200040.46347277
2020-08-27,5.374828815460205,5.429277288403896,5.312602201181631,5.312602201181631,45740900,45740921.42931051,15246973.809770169
2020-08-28,5.398164749145508,5.40594289158682,5.335938126015289,5.390386235804265,39936900,39936921.530432,13312307.176810667
2020-08-31,5.304823875427246,5.390385281635848,5.281488710434077,5.367050487542544,50089500,50089521.34374835,16696507.114582784
2020-09-01,5.312601089477539,5.34371439010612,5.227039327299041,5.265931138534667,48189900,48189921.14928594,16063307.04976198
2020-09-02,5.405941009521484,5.421497659888029,5.265931156222585,5.297044456955674,59008900,59008921.39041428,19669640.463471428
2020-09-03,5.304823875427246,5.514838876766309,5.258153916340773,5.382607140571369,78130900,78130921.46042381,26043640.48680794
2020-09-04,5.367050647735596,5.405942096018537,5.25037556108702,5.335937340749292,70017500,70017521.35930565,23339173.786435217
2020-09-08,5.46816873550415,5.57706530307796,5.297045186988312,5.312601839498856,84749300,84749321.65488106,28249773.884960353
2020-09-09,5.421498775482178,5.522617209121987,5.390385468346833,5.499282414220417,56501400,56501421.833783865,18833807.277927954
2020-09-10,5.374828815460205,5.475947249112827,5.343715508320917,5.437055429738779,69228600,69228621.631547,23076207.210515667
2020-09-11,5.444834232330322,5.444834232330322,5.328159138886122,5.3981642691326215,55080600,55080621.615991876,18360207.205330625
2020-09-14,5.538173675537109,5.584843634663,5.429277104243365,5.452612269256242,58704300,58704322.004906684,19568107.334968895
2020-09-15,5.475948333740234,5.584844930297014,5.444835020438298,5.569288273646046,65198500,65198522.07491656,21732840.691638853
2020-09-16,5.460391044616699,5.538174318861969,5.437055876893164,5.483726212340234,46245800,46245821.91934745,15415273.973115817
2020-09-17,5.662627220153809,5.709297178862511,5.429277055710434,5.475947014419138,84850100,84850122.27714847,28283374.092382822
2020-09-18,5.623735427856445,5.7559671635784975,5.615956915919918,5.685962039749208,71929400,71929422.68162155,23976474.227207184
2020-09-21,5.343715190887451,5.514838740888131,5.297045232950862,5.514838740888131,72850300,72850321.6704379,24283440.556812633
2020-09-22,5.273710250854492,5.4370549123417256,5.265931739359944,5.359271651895462,55865500,55865521.335968554,18621840.445322853
2020-09-23,5.16481351852417,5.390385168142705,5.1570353776234565,5.297045251935006,52588600,52588621.00927932,17529540.33642644
2020-09-24,5.180370807647705,5.258154451609904,4.985912439542012,5.133700843810328,59822900,59822920.55813854,19940973.519379515
2020-09-25,5.063695430755615,5.219261956826509,5.055916919002144,5.141478693791062,53761800,53761820.480353,17920606.82678433
2020-09-28,5.203705310821533,5.265931921328839,5.11814353592406,5.125922047687401,47582600,47582620.71370281,15860873.57123427
2020-09-29,5.133700370788574,5.211483636683881,5.08703041125139,5.203705495544285,38987300,38987320.63591991,12995773.545306638
2020-09-30,5.180370807647705,5.250375938853724,5.125922701954049,5.141479356566508,55944600,55944620.6981488,18648206.899382934
2020-10-01,5.250375747680664,5.265932401726685,5.157035823404537,5.219262439588621,58340600,58340620.892606415,19446873.630868804
2020-10-02,5.359272480010986,5.390385788997125,5.133700804411533,5.149257458904603,60798400,60798421.03261653,20266140.34420551
2020-10-05,5.460391044616699,5.483726212340234,5.405942567195056,5.405942567195056,42359400,42359421.75600239,14119807.252000796
2020-10-06,5.429277896881104,5.639292929058313,5.413721241567974,5.491504518133622,78203800,78203821.97379659,26067940.657932196
2020-10-07,5.623735427856445,5.639292080829636,5.491503692134393,5.530395510017302,50664100,50664122.28492671,16888040.761642236
2020-10-08,5.717075347900391,5.717075347900391,5.600400265106533,5.67040538896282,54513300,54513322.70495635,18171107.568318784
2020-10-09,5.639291763305664,5.787080143679587,5.623735111208401,5.724853535290533,50977900,50977922.774960555,16992640.92498685
2020-10-12,5.965981960296631,6.12154848471251,5.701518497889786,5.724853662002094,97692900,97692923.5139026,32564307.837967534
2020-10-13,6.035987854003906,6.1293277805957445,5.9348694147461325,6.082657817299825,74562600,74562624.18284287,24854208.060947623
2020-10-14,5.888198852539063,6.028208728185882,5.872642199689416,6.012652075336235,57752100,57752123.80170186,19250707.93390062
2020-10-15,5.927090167999268,5.927090167999268,5.732631826233676,5.771523642946735,49336200,49336223.35833581,16445407.786111936
2020-10-16,5.965981960296631,6.028208570062983,5.919312002971868,5.997095265179807,47509400,47509423.9105978,15836474.636865934
2020-10-19,5.903756141662598,6.004874210633312,5.888199487136342,5.9737609015808,38960700,38960723.77059074,12986907.923530245
2020-10-20,6.020430564880371,6.105992345957191,5.89597733487764,5.927090642378323,63447000,63447023.94949089,21149007.98316363
2020-10-21,6.105991840362549,6.12932700450578,6.012651925589329,6.043765230513736,51981100,51981124.291736,17327041.430578668
2020-10-22,6.386011600494385,6.393790111742896,6.137104804039487,6.16821810723387,74008500,74008525.08512463,24669508.36170821
